text,label
Thật ra Reaction đầu tiên nghe xong đã thích ngay! ❤️,1
"Trận đấu kịch tính, xem mê không rời! ❤️",1
"Hàng kém chất lượng, không như quảng cáo! Hoàn tiền đi! 🤦",0
"Ôi trời ơi, Nhân viên tư vấn nhiệt tình, hỗ trợ tốt! Mọi người thử đi! 😍",1
"Thật sự Ngộ độc thực phẩm sau khi ăn, kinh khủng! Tránh xa ra! 😒",0
"Buồn lắm, Thuốc không hiệu quả, uống mãi không khỏi! 😡",0
"Tức lắm, Bảo hành kém, gặp lỗi mà không xử lý! Tránh xa ra! 😤",0
"Thật sự Phòng rộng, view biển đẹp, rất thích! Mọi người thử đi! ❤️",1
"Trời ơi, Giảng viên dạy nhàm, không nhiệt tình! 💔",0
"Kem dưỡng da gây kích ứng, nổi mụn! 👎",0
"Thật sự Chất liệu tốt, bền, đúng như mô tả! Mọi người thử đi! 🥰",1
"Tức lắm, Video dài dòng, mất thời gian xem! 💔",0
"Hài hước quá, cười không nhặt được miệng! 🔥",1
"Trời ơi, Không hiểu sao bài này lại được khen! Không recommend! 😡",0
"Tức lắm, Kịch bản vô lý, đầy lỗ hổng logic! Đừng mua nha! 🤦",0
"Thật ra Giọng hát quá hay, cảm xúc lắm! Mọi người thử đi! 👏",1
"Ôi trời ơi, Đóng gói kỹ lưỡng, hàng không bị hỏng! Mọi người thử đi! 👏",1
"Tức lắm, Ảnh quá đẹp nhưng thực tế rất xấu! 💔",0
"Thất vọng khi Mua về 1 tháng đã hỏng, hàng lỗi! Tránh xa ra! 😡",0
"Bài này chữa lành tâm hồn, cảm ơn nghệ sĩ! Mọi người thử đi! 💯",1
"Trời ơi, Không quay lại nữa, quá thất vọng! 😤",0
"Phải nói thật là Phim Việt ngày càng chất lượng, tự hào! Quá đỉnh luôn! 👏",1
"Ôi trời ơi, Nhân viên tư vấn nhiệt tình, hỗ trợ tốt! Recommend nha! 👏",1
"Ôi trời ơi, Vải mềm mịn, không gây kích ứng da! Quá đỉnh luôn! 😍",1
"Thật sự Khách sạn bẩn, mùi hôi, không như ảnh! Đừng mua nha! 👎",0
"Phải nói là Thực phẩm chức năng hiệu quả, cảm thấy khỏe hơn! 👏",1
"Buồn khi Màn trình diễn nhạt, không để lại ấn tượng! Đừng mua nha! 🤦",0
"Khuyến mãi tốt, freeship, rất đáng order! Quá đỉnh luôn! 🔥",1
